
Loaded 8442 rows (all programs, all sheets).
Compiling with 20 parallel workers.
  [4725/8442] compiled=4700 failed=25 unspecified=230 cost=$220.35
  [4750/8442] compiled=4725 failed=25 unspecified=234 cost=$221.52
  [checkpoint] 4725 real Check objects + applicability written
  [4775/8442] compiled=4750 failed=25 unspecified=238 cost=$222.69
  [4800/8442] compiled=4775 failed=25 unspecified=239 cost=$223.85
  [4825/8442] compiled=4800 failed=25 unspecified=239 cost=$225.02
  [4850/8442] compiled=4825 failed=25 unspecified=241 cost=$226.20
  [4875/8442] compiled=4850 failed=25 unspecified=244 cost=$227.36
  [4900/8442] compiled=4875 failed=25 unspecified=257 cost=$228.54
  [4925/8442] compiled=4900 failed=25 unspecified=261 cost=$229.72
  [4950/8442] compiled=4925 failed=25 unspecified=264 cost=$230.89
  [4975/8442] compiled=4950 failed=25 unspecified=266 cost=$232.06
  [5000/8442] compiled=4975 failed=25 unspecified=268 cost=$233.24
  [checkpoint] 4975 real Check objects + applicability written
  [5025/8442] compiled=5000 failed=25 unspecified=269 cost=$234.40
  [5050/8442] compiled=5025 failed=25 unspecified=272 cost=$235.57
  [error] row_id=USDA-00464: ClientError: An error occurred (InvalidSignatureException) when calling the Converse operation: Signature expired: 20260723T073132Z is now earlier than 20260723T074235Z (20260723T074735Z - 5 min.)
  [5075/8442] compiled=5049 failed=26 unspecified=272 cost=$236.69
  [5100/8442] compiled=5074 failed=26 unspecified=274 cost=$237.86
  [5125/8442] compiled=5099 failed=26 unspecified=275 cost=$239.01
  [5150/8442] compiled=5124 failed=26 unspecified=275 cost=$240.17
  [5175/8442] compiled=5149 failed=26 unspecified=275 cost=$241.32
  [5200/8442] compiled=5174 failed=26 unspecified=277 cost=$242.50
  [5225/8442] compiled=5199 failed=26 unspecified=279 cost=$243.66
  [5250/8442] compiled=5224 failed=26 unspecified=280 cost=$244.82
  [checkpoint] 5224 real Check objects + applicability written
  [5275/8442] compiled=5249 failed=26 unspecified=280 cost=$246.00
  [5300/8442] compiled=5274 failed=26 unspecified=284 cost=$247.18
  [5325/8442] compiled=5299 failed=26 unspecified=286 cost=$248.35
  [5350/8442] compiled=5324 failed=26 unspecified=287 cost=$249.52
  [5375/8442] compiled=5349 failed=26 unspecified=288 cost=$250.69
  [5400/8442] compiled=5374 failed=26 unspecified=289 cost=$251.85
  [5425/8442] compiled=5399 failed=26 unspecified=290 cost=$253.02
  [5450/8442] compiled=5424 failed=26 unspecified=292 cost=$254.19
  [5475/8442] compiled=5449 failed=26 unspecified=297 cost=$255.37
  [5500/8442] compiled=5473 failed=27 unspecified=305 cost=$256.56
  [checkpoint] 5473 real Check objects + applicability written
  [5525/8442] compiled=5498 failed=27 unspecified=305 cost=$257.73
  [5550/8442] compiled=5522 failed=28 unspecified=310 cost=$258.91
  [5575/8442] compiled=5547 failed=28 unspecified=313 cost=$260.08
  [5600/8442] compiled=5572 failed=28 unspecified=317 cost=$261.26
  [5625/8442] compiled=5597 failed=28 unspecified=320 cost=$262.43
  [5650/8442] compiled=5621 failed=29 unspecified=325 cost=$263.61
  [5675/8442] compiled=5645 failed=30 unspecified=327 cost=$264.76
  [5700/8442] compiled=5670 failed=30 unspecified=331 cost=$265.94
  [5725/8442] compiled=5695 failed=30 unspecified=332 cost=$267.12
  [5750/8442] compiled=5720 failed=30 unspecified=335 cost=$268.29
  [checkpoint] 5720 real Check objects + applicability written
  [5775/8442] compiled=5745 failed=30 unspecified=338 cost=$269.47
  [5800/8442] compiled=5770 failed=30 unspecified=338 cost=$270.64
  [5825/8442] compiled=5795 failed=30 unspecified=340 cost=$271.80
  [5850/8442] compiled=5820 failed=30 unspecified=340 cost=$272.97
  [5875/8442] compiled=5844 failed=31 unspecified=341 cost=$274.13
  [5900/8442] compiled=5869 failed=31 unspecified=342 cost=$275.29
  [5925/8442] compiled=5894 failed=31 unspecified=344 cost=$276.45
  [5950/8442] compiled=5918 failed=32 unspecified=344 cost=$277.62
  [5975/8442] compiled=5943 failed=32 unspecified=345 cost=$278.80
  [6000/8442] compiled=5968 failed=32 unspecified=345 cost=$279.96
  [checkpoint] 5968 real Check objects + applicability written
  [6025/8442] compiled=5993 failed=32 unspecified=346 cost=$281.13
  [6050/8442] compiled=6018 failed=32 unspecified=347 cost=$282.28
  [6075/8442] compiled=6043 failed=32 unspecified=350 cost=$283.44
