
Loaded 8442 rows (all programs, all sheets).
Compiling with 20 parallel workers.
  [4850/8442] compiled=4826 failed=24 unspecified=241 cost=$226.20
  [4875/8442] compiled=4851 failed=24 unspecified=243 cost=$227.36
  [4900/8442] compiled=4876 failed=24 unspecified=255 cost=$228.54
  [4925/8442] compiled=4901 failed=24 unspecified=259 cost=$229.72
  [4950/8442] compiled=4926 failed=24 unspecified=263 cost=$230.88
  [4975/8442] compiled=4951 failed=24 unspecified=265 cost=$232.06
  [5000/8442] compiled=4976 failed=24 unspecified=266 cost=$233.23
  [checkpoint] 4976 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [5025/8442] compiled=5001 failed=24 unspecified=269 cost=$234.40
  [5050/8442] compiled=5026 failed=24 unspecified=271 cost=$235.57
  [5075/8442] compiled=5051 failed=24 unspecified=272 cost=$236.73
  [5100/8442] compiled=5076 failed=24 unspecified=272 cost=$237.90
  [5125/8442] compiled=5101 failed=24 unspecified=273 cost=$239.05
  [5150/8442] compiled=5126 failed=24 unspecified=273 cost=$240.21
  [5175/8442] compiled=5151 failed=24 unspecified=275 cost=$241.37
  [5200/8442] compiled=5176 failed=24 unspecified=275 cost=$242.54
  [5225/8442] compiled=5201 failed=24 unspecified=276 cost=$243.70
  [5250/8442] compiled=5226 failed=24 unspecified=278 cost=$244.87
  [checkpoint] 5226 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [5275/8442] compiled=5251 failed=24 unspecified=280 cost=$246.05
  [5300/8442] compiled=5276 failed=24 unspecified=283 cost=$247.22
  [5325/8442] compiled=5301 failed=24 unspecified=285 cost=$248.40
  [5350/8442] compiled=5326 failed=24 unspecified=286 cost=$249.57
  [5375/8442] compiled=5350 failed=25 unspecified=287 cost=$250.74
  [5400/8442] compiled=5375 failed=25 unspecified=288 cost=$251.89
  [5425/8442] compiled=5400 failed=25 unspecified=289 cost=$253.07
  [5450/8442] compiled=5425 failed=25 unspecified=291 cost=$254.24
  [5475/8442] compiled=5450 failed=25 unspecified=296 cost=$255.41
  [5500/8442] compiled=5475 failed=25 unspecified=303 cost=$256.60
  [checkpoint] 5475 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [5525/8442] compiled=5500 failed=25 unspecified=303 cost=$257.77
  [5550/8442] compiled=5525 failed=25 unspecified=308 cost=$258.95
  [5575/8442] compiled=5550 failed=25 unspecified=311 cost=$260.12
  [5600/8442] compiled=5575 failed=25 unspecified=316 cost=$261.29
  [5625/8442] compiled=5600 failed=25 unspecified=318 cost=$262.46
  [5650/8442] compiled=5625 failed=25 unspecified=324 cost=$263.64
  [5675/8442] compiled=5649 failed=26 unspecified=326 cost=$264.79
  [5700/8442] compiled=5674 failed=26 unspecified=330 cost=$265.97
  [5725/8442] compiled=5699 failed=26 unspecified=331 cost=$267.15
  [5750/8442] compiled=5723 failed=27 unspecified=332 cost=$268.32
  [checkpoint] 5723 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [5775/8442] compiled=5748 failed=27 unspecified=336 cost=$269.50
  [5800/8442] compiled=5773 failed=27 unspecified=337 cost=$270.68
  [5825/8442] compiled=5797 failed=28 unspecified=340 cost=$271.84
  [5850/8442] compiled=5822 failed=28 unspecified=340 cost=$273.00
  [5875/8442] compiled=5846 failed=29 unspecified=340 cost=$274.17
